localizacao;descricao;dataDeAquisicao;departamento;observacoes
SETOR N 21- 6SUBDISTRITO;BALNERIO CAVERA REMANESCENTE MAT 28817;08/09/2011;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;MATRCULA 28817 AUTORIZADO VENDER POR LEI N 5257 DE 23 DE DEZEMBRO DE 2013
SETOR N 21- 6SUBDISTRITO;MATRCULA  CORREDOR DOS PAPAGAIOS COXILHA VERMELHA PRESIDIO E CANIL;01/01/2009;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;rea desta matrcula foi dividida em trs partes doada a parte do meio para a construo do Presdio Estadual( matrcula n 30519) ficando duas reas remanescentes uma para a BR 290 (matrcula 30 521) e outra aps a rea do presidio em construo que parte  foi destinada a construo do Canil Municipal(matrcula 30520).
SETOR N 22- 7SUBDISTRITO;MEMORIAL OSVALDO ARANHA  MAT 28816;08/09/2011;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;LEI N 4897/2011  AUTORIZOU DOAO\nLEI N 5235/2013 PRORROGOU O PRAZO DE REVERSO AO MUNICPIO PARA AT 04 ANOS
SETOR N 23- 8SUBDISTRITO;REA P/LOTEAMENTO VILA JOS DE ABREU-PEDREIRAS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido n 3.614
SETOR N 23- 8SUBDISTRITO;BAIRRO JOS DE ABREU;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 3.614
SETOR N 23- 8SUBDISTRITO;POSTO MDICO DA VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido n 2.5441.302
SETOR N 24-  2DISTRITO-PASSO NOVO;POSTO MDICO DA VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido n2.5441.302
SETOR N 24-  2DISTRITO-PASSO NOVO;PRAA DA VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 10.064
SETOR N 24-  2DISTRITO-PASSO NOVO;TERRENO DESTINADO P/ABERTURA DA RUA CARABE VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 10.705
SETOR N 24-  2DISTRITO-PASSO NOVO;TERRENO MATRCULA 12588 E 17296 MATADOURO VELHO;23/11/2006;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Uma frao de terras siituada no suburbio desta cidade na Avenida Pedreiras antigo lugar  conhecido como Matadouro Velho de formato irregular com rea de trinta e oito mil oitocentos e vinte e cinco metros quadrados e vinte e cinco decmetros quadrados (38.82525 mq) constante na Matrcula do Registro de Imveis desta cidade sob o N 12588 Registro 01 no valor R$ 82.50125 e uma frao de terras  com reas de 3.05093 mq situada na zona urbana desta cidade constante na Matrcula do Registro de Imveis desta cidade sob N 17296 Registro 2 e 3  no valor de  R$ 6.48325 que contrataram vender como efetivamente vendido tem  outorgada compradora pelo preo certo e ajustado de R$ 88.98450 conforme Escritura Pblica de Compra e Venda N 20.656-117.
SETOR N 24-  2DISTRITO-PASSO NOVO;TERRENO MED. 10.00 X 25.00M  MATADOURO VELHO;12/09/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Terreno designado pelo n 1(um) da quadra B do loteamento Jardim Santa Terezinha situado nos subrbios desta cidade lugar denominado Matadouro Velho nas Pedreiras medindo dez metros quadrados (10.00m) X vinte e cinco metros quadarados (25.00m) de frente a fundos confrontando ao norte com a rua A ao sul c/ terreno de Luiz Bolson  ao oeste c/ uma prevista rua e a o sul c/ o terreno n 2 tambm de propriedade do ora adquirente conforme consta na matrcula n 5.125 do Registro de Imveis desta cidade adquirido conforme R.2.
SETOR N 6;TERRENO NA AV. PEDREIRAS (DESTINADO A UMA VIA DE ACESSO);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 15.416
SETOR N 6;TERRENO NA VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido n14.386
SETOR N 6;TERRENO P/CONSTRUO DE ESCOLA- BAIRRO JOS DE ABREU;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 24.08624.085
SETOR N 7;TERRENO VILA PRADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido nr.5.722
SETOR N 7;REA DE TERRAS DESTINADAS AO NOVO DEPSITO DE LIXO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n20.521
SETOR N 8;REA INSTUTICIONAL NO PARQUE RESID SANT PASTEUS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
SETOR N 8;BAIRRO DR.ROMARIO DE ARAJO DE OLIVEIRA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
SETOR N 8;BAIRRO NOSSA SRA.APARECIDA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 8.940
SETOR N 8;ESCOLA DR.ROMARIO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 5.521 at 5.524 e 5.5275.535
SETOR N 9;FUTURA ''CASA DO MEL'';11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n23.446
SETOR N 9;LEITO DA  AV.REPBLICA RIO GRANDE;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 12.258
SETOR N 9;NCLEO HABITUCIONAL DEPUTADO ULISE GUIMARES;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n4.728
SETOR N 9;POSTO MDICO DO CAPO DO ANGICO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n37.409
SETOR N 9;PRAA DA VILA CAPO DO ANGICO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 9;PRAA DA VILA SANTOS DUMONT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 9;TERRENO NA RUA CARVALHO CAPO DO ANGICO);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 19.751
SETOR N 9;TERRENO NA RUA TIMBAVA(CAPO DO ANGICO);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n  20.266
SETOR N 9;TERRENO NA VILA CAPO DO ANGICO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 9;TERRENO NA VILA SANTOS DUMONT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 12.250
SETOR N 9;TERRENO N01 DA QRADRA 28-SANTOS DUMONT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n15.014
SETOR N 9;TERRENO N16 DA QUADRA 28-VILA SANTOS DUMONT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido 15.014
SETOR N15;TERRENO N17 QUDRA 28- SANTOS DUMONT;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n15.017
SETOR N15;3.1 TERRENO PARQUE DOS AGUATEIROS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 9.9619.9625.2199.958
SETOR N15;3.10-TERRENO PROLONGAMENTO SUL RUA EMILIO ZUNEDA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/certido nr 23992 e certido nr 23993
SETOR N15;3.11 TERRENO RUA EMILIO ZUNEDA ARREBALDE COXILHA SECA;05/04/1988;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;matrcula nr 3713
SETOR N15;3.12PRAA GENERAL OSRIO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N15;3.14 TERRENO DESAPROPRIADO PARA CONSTRUO AV EBM;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;terreno desapropriado para construo da Av. Euripedes. Certido 15655 proprietrio anterior Nercy Debogurski
SETOR N15;3.2 TERRENO PARQUE DOS AGUATEIROS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 9.956 e nr 12281
SETOR N15;3.3 TERRENO PARQUE DOS AGUATEIROS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n12.281
SETOR N15;3.4 TERRENO PARQUE PORTO DOS AGUATEIROS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n9.958 encaminhada propositura de lei em fev 2012 para doao da rea ao 12 grupo de Escoteiros Honrio Lemes
SETOR N15;3.5 TERRENO NA RUA VINTE DE SETEMBRO C/TRILHOS-HOJE RUA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n30.143
SETOR N15;3.6 TERRENO P/PROLONGAMENTO DA AV. EURIPEDES BRASIL MILANO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n17.650
SETOR N15;MORADIA TRANSITRIA- MATRCULA N 18783;15/05/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Matrcula no RI n 18783
SETOR N15;4.6 TERRENO PROLONGAMENTO OESTE RUA SEVERINO RIBEIRO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Terreno prolongamento Oeste da rua Severino Ribeiro        c/planta c/certido n 14.267
SETOR N15;TERRENO NA RU JOS DE ABREU;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n8.808
SETOR N15;TERRENO NA RUA ALAN KARDEC VILA ASSUNO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n4.886
SETOR N15;TERRENO NA RUA BARROS CASSAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n15.108
SETOR N15;TERRENO NA RUA BENTO MANOEL ESQUINA COM BARROS CASSAL(CEBEM-SEDE);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n10.411
SETOR N15;TERRENO NA RUA PLNIO MACEDO PROLONGAMENTO DE RUA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n10.195
SETOR N15;TERRENO NA VILA SO JOAO JOAQUIM (JUNTAMENTE C/ESCOLA EUCLIDES LISBOA);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n1.806
SETOR N3;TERRENO NO FIM DA RUA SEVERINO RIBEIRO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n10.19410.195
SETOR N3;TERRENO PROLONGAMENTO DA RUA BARO DO RIO BRANCO COM A RUA EMLIO ZUNEDA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n3713
SETOR N3;TERRENO SITUADO NA ANTIGA CHCARA DA OLARIA HOJE C.T.G LANCEIROS DE  CANABARRO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/placa c/certido n13.4329.470
SETOR N3;UMA FAIXA DE TERRENO NA RUA RIO BRANCO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/certido n20.164
SETOR N3;UMA FAIXA DE TERRENO NA RUA SENADOR MACHADO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n621
SETOR N3;ALBERGUE MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido  s/n
SETOR N3;Colgio Francisco Carlos;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido s/n
SETOR N3;Creche da Vila Nova;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido n11.387
SETOR N3;Largo Araci Baez Vila Nova;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N3;POSTO MDICO VILA NOVA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n8.586
SETOR N3;Terreno na Rua General Sampaio destinado ao Pronto Socorro;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido n17.730
SETOR N4;Terreno na Rua Manoel ManoVila Nova destinado p/abertura de Rua;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido n12.248
SETOR N4;Terreno na Vila Pombal as margens do Rio Ibirapuit;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta  c/certido n13.923
SETOR N4;TERRENO VILA NOVA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n9.544
SETOR N4;Vila Tripa;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta  c/certido n22.470 at 22.485
SETOR N4;ESCOLA DEMOCRATINO SILVEIRA(COXILHA VERMELHA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA JOO JORGENS(RIVADARIA CORREA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA RURAL EDELMIRO FIORAVANTE(VASCO  ALVES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA RURAL FRANCISCO DA COSTA SOBRINHO(VASCO ALVES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA RURAL JORGE DA SILVEIRA PINTO(VASCO ALVES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA RURAL LUIZ ARAUJO FILHO9VASCO ALVES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
SETOR N4;ESCOLA RURAL SOBRADO(EMPRESTADA) (VASCO ALVES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
