localizacao;descricao;dataDeAquisicao;departamento;observacoes
ESCOLAS URBANAS;ESCOLA RURAL LUIZ GONZAGA PINTO(INHANDU);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
ESCOLAS URBANAS;ESCOLA RURAL NOSSA SRA.DA CONCEIO (CAPIVARI);11/11/1111;CADASTRO IMVEIS RURAIS;destivada
ESCOLAS URBANAS;ESCOLA RURAL TCITO DE S E SILVA(JARA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
ESCOLAS URBANAS;ESCOLA RURAL ANA CLARA DORNELES(MARIANO PINTO);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
ESCOLAS URBANAS;ESCOLA RURAL EUCLIDES BORGES(RINCO DA CHCARA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
ESCOLAS URBANAS;ESCOLA RURAL MARIA IDELCNEA ZACARIAS(MARIANO PINTO);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
ESCOLAS URBANAS;ESCOLA RURL FARROUPILHA(RINCO DA CHCARA));11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA  ATOS MARAL(ITAPEVI);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA LVARO KRUEL(TRANF.P/MANOEL VIANA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA MACHADO DE ASSIS(PASSO NOVO);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA RURAL TEODELFINO BORGES(RINCO ALEGRE);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA SALVADOR PINHEIRO MACHADO;11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA ABELARDO CARS(RINCO DE SO MIGUEL);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA RURAL INCIO LECUANA(RINCO DE SO MIGUEL);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
GUASSU-BOI-7 SUBDISTRITO;ESCOLA RURAL SALUSTIANO FERREIRA DA COSTA(RINCO DE SO MIGUEL);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
INHANDU-5 SUBDISTRITO;LOTEAMENTO SEP TIARAJ;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 7.399
INHANDU-5 SUBDISTRITO;PRAA MONTEIRO LOBATO VILA GRANDE E PRO INFANCIA REA VERDE MATRCULA N 12612;01/01/2015;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;local na Vila Grande destinado a Praa Monteiro Lobatto e ao Pr Infncia matrcula n 12612 do RI NO TEMOS CPIA DA CERTIDO NO PATRIMNIO
INHANDU-5 SUBDISTRITO;TERRENOS VILA GRANDE QUADRA 42 LOTES 01 E 02;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Com certido nmeros 12927 com rea de 97544 m e Certido n 12927 com rea de 94256m lei n1604/85  que autorizou Dao em Pagamento.
INHANDU-5 SUBDISTRITO;ESCOLA MUNICIPAL LIONS CLUB;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 5.217
ITAPOROR-2SUBDISTRITO;PARTE DO TERRENO SANA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 10.991
ITAPOROR-2SUBDISTRITO;TERRENO NA RUA ALEGRIA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido s/n
ITAPOROR-2SUBDISTRITO;TERRENO NA RUA CARO FERREIRA DA COSTA- HOJE PRAA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documento)
ITAPOROR-2SUBDISTRITO;TERRENO NA RUA NILO MILANO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 327
PASSO NOVO-2 DISTRITO;TERRENO NO CEMITRIO MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 5.948
PASSO NOVO-2 DISTRITO;TERRENO NO CEMITRIO MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 36.7095.7134.623
PASSO NOVO-2 DISTRITO;TERRENO NO CEMITRIO MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 4.116
PASSO NOVO-2 DISTRITO;1.1 PALACIO RUI RAMOS - SEDE PREFEITURA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta \nc/ certido n 33.407
PASSO NOVO-2 DISTRITO;1.10 LEI 1379/80 TERRENO NA  AV.EURIPEDES BRASIL MILANO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;sem documentao
RINC DE SO MIGUEL-8 SUBDISTRITO;1.11 CAMARA DE VEREADORES CERTIDO N 8514-RI;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;sem documentao
RINC DE SO MIGUEL-8 SUBDISTRITO;1.14 TERRENO NA AV. ALEXANDRE LISBOA C/JOAQUIM ANTNIO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n3.664
RINC DE SO MIGUEL-8 SUBDISTRITO;1.19 PRAA GETULIO VARGAS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 16;1.2 PRDIO DO ANTIGO FORO CERTIDO NR 24445-;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;prdio do antigo foro na praa getlio vargas propriedade do governo do estado
SETOR N 16;1.20 QUIOSQUE ( CONCESSO);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;contrato de concesso
SETOR N 16;1.21 ESTDIO FARROUPILHA /SEM DOCUMENTOS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N  10;1.22-PARQUE NEHYTA RAMOS-CERTIDO NR 30358;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;certido nr 30358
SETOR N  10;1.23  PARQUE RUI RAMOS-PARQUE DOS PATOS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N  10;1.3 BANHEIROS PBLICOS ANTIGA FEIRA LIVRE;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;certido NR 36373---banheiros pblicos antigas feiras livres-
SETOR N  10;1.4 FAIXA DE TERRENO NA RUA TAMANDAR;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;certido nr 12305 faixa de terreno
SETOR N  10;1.8 CERTIDO N 12305 FAIXA DE TERRENO NA RUA TAMANDAR;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/certido 12.305
SETOR N  10;MUSEU HISTORICO OSWALDO ARANHA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)no  do municpio  o prdio
SETOR N  10;TERRENO NA RUA MARQUS DE ALEGRETE;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n13.279 confrontando com o prdio da Prefeitura Municipal
SETOR N  10;REA DE TERRA COM 108.402 M2-FRONTEIRA AO TREVO DE ACESSO  A BR-290 (VILA GMINO0;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta s/certido
