ÀREA DO ANTIGO AEROPORTO
MATRÍCULA Nº 10.795- CENTRO ADMINISTRATIVO MUNICIPAL;08/09/2005;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Um terreno, situado nos suburbios, na esquina da Av. Passo Novo com uma rua em projeto, medindo cento e treze metros ao norte, com A v. Passo Novo, igual medida ao sul,                             com restante da propriedade de Maria Zedália Serpa, oitenta e quatro metros a leste , também com restante da propriedade da vendedora, e igual medida a oeste, com uma rua em projeto, localizando-se após referida rua em projeto a Décima Segunda Companhiade Comunicações. Averbação 2 - Conjunto de blocos arquitetônicos, designado pelo nº 200, com área total de 2.980m² , designado pelo nº 200, composto por uma guarita e cinco blocos designados A, B, C, e E, mais o sub-solo no bloco A, ficando o conjunto assim individualizado:  uma guarita ( entrada principal que serve todo conjunto). Bloco "A" -  um hall de entrada 9pportaria), três circulações, duas salas para compensação, um caixa avançado, um escritório ADMEC, uma sala para ar condicionado, uma sala para chefia adjunta, dois sanitários masculinos, dois sanitários femininos, um salão SECOI-SERGE/ESCAI -FUGAR e um bebedouro, sub-solo - uma escadaria de acesso ao sub-solo, uma sala para oficina depósito geral, uma sala para escritório, uma sala para depósito (material de limpeza), uma sala para depósito ADEMEC, uma sala para bombas, um salão para SEMAN, um salão para grupo garador, um salão para sub-estação e uma circulação, um conjunto de sanitários masculino e outro feminino, . Bloco "B" - uma sala para chefia, uma sala para P.C.P, uma sala SEFUN-SECTA; uma circulação, uma sala de espera, um sanitário social, um sanitário masculino e outro feminino, uma sala para ar condicionado, e um espelho d'água. Bloco "C" - doois salões para almoxarifado, uma sala para ar condicionado, um depósito de lixo, uma lanchonete, uma cozinha, uma caixa de lanchonete, um depósito, uma área de serviço, um corredor - circulação e um castelo d'água. Bloco "D" -Um salão para micro; um Salão Grava; uma sala Telet; um salão para malote; um Confe; uma circulação e uma sala para laboratório  processamento e controle de qualidade ; uma sala laboratório duplicação; uma sala para equipe de apoio; uma sala para revisão;uma sala para ar condicionado; dois sanitários(masculino e feminino) um jardim e um espelho d'água. Bloco E - uma circulação circular que serve para ligar os demais blocos, compondo-se de :quatro espelhos e um jardim de inverno. Os pisos são de basalto,granito, cimentado liso, carpet, paviflex. Todos nas especificações constantes no projeto aprovado.Os forros falsos e teto são todos de acordo com o projeto aprovado, domos de acrílico translúcido, fibraroc, gesso e lambril. Servido por água e luz, instalação sanitária com fossa séptica.
TERRENO MATRÍCULA 21.327;25/06/1999;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 21.328;25/06/1999;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 21.329;25/06/1999;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 21.330;25/06/1999;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 21.331;25/06/1999;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 23.338;05/09/2001;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 23.339;05/06/2001;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 23.340;05/09/2001;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 23.341;05/09/2001;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.356;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.357;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.358;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.359;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.401;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
TERRENO MATRÍCULA 24.403;27/02/2004;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;
16 imóveis(s) na divisão BAIRRO MEDIANEIRA

BAIRRO PEDREIRAS
TERRENO MATRÍCULA 25594 E 12590 MATADOURO VELHO;15/02/2007;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Uma fração de terras situada nos subúrbios desta cidade, na Avenida Pedreiras, antigo lugar conhecido como Matadouro Vellho, de formato irregular, com as seguintes medidas e confrontações: cento e noventa e sete metros (197,oom) ao Sul, com a BR 290; cento e oitenta e dois metros (182,00m) ao Norte, com o prolongamento da Rua José Antônio Vargas; cento e vinte e seis metros (126,00m) a Leste, com os vendedores; e cento e oito metros (108,00m) a Oeste, com a compradora; havido conforme Matrícula do Registro de Imóveis desta cidade, sob número 12.590, registro 01, conforme Escritura Pública de Compra e Venda Nº 20.749-036. Informa-se que a Escritura Pública de Aditivo passou a acrescentar na Escritura Pública de Compra e Venda Nº 20.749-036, que a fração vendida possui a área de 2,0 hectares, como também informou o regime de bens do casamento dos vendedores, que é Comunhão Parcial de Bens, conforme     Escritura     Pública    de  Aditivo Nº 8.178-148.
1 imóveis(s) na divisão BAIRRO PEDREIRAS

BAIRRO RENASCER
BAIRRO RENASCER MATRÍCULA 8870;11/04/2007;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;uma fração de terras, siituada na zona urbana desta cidade na Margem esquerda do Rio Ibirapuitã,com área de 172.100,00mq, partindo do ponto localizado a 74,68 a sudoeste do ponto comum ao cruzamento da linha limite leste das terras dos Armazéns Gerais S.A. e do alinhamento norte do prolongamento da Avenida Poço de Bombas, conforme Escritura Pública de Compra e Venda  Nº 20.760-037.
1 imóveis(s) na divisão BAIRRO RENASCER

BAIRROS JOSÉ DE ABREU
